resident_id,room,zone,floor
R1,101,Aile A,1
R2,102,Aile A,1
R3,103,Aile A,1
R4,104,Aile A,1
R5,105,Aile A,1
R6,106,Aile A,1
R7,107,Aile A,1
R8,108,Aile A,1
R9,109,Aile A,1
R10,110,Aile A,1
R11,201,Aile B,2
R12,202,Aile B,2
R13,203,Aile B,2
R14,204,Aile B,2
R15,205,Aile B,2
R16,206,Aile B,2
R17,207,Aile B,2
R18,208,Aile B,2
R19,209,Aile B,2
R20,210,Aile B,2
R21,301,Aile C,3
R22,302,Aile C,3
R23,303,Aile C,3
R24,304,Aile C,3
R25,305,Aile C,3
R26,306,Aile C,3
R27,307,Aile C,3
R28,308,Aile C,3
R29,309,Aile C,3
R30,310,Aile C,3
R31,401,Aile D,4
R32,402,Aile D,4
R33,403,Aile D,4
R34,404,Aile D,4
R35,405,Aile D,4
R36,406,Aile D,4
R37,407,Aile D,4
R38,408,Aile D,4
R39,409,Aile D,4
R40,410,Aile D,4
